#: table_doi: 10.17182/hepdata.48532.v1/t1,,,,,,,,,,,,
#: name: Table 1 & 3,,,,,,,,,,,,
#: description: The Collins and Sivers asymmetry as a function of X for 'ALL'  pions from the 2003-2004 data.. Errors are statistical only.,,,,,,,,,,,,
,,,,,,,,,,,,
#: data_file: Table1.yaml,,,,,,,,,,,,
#: keyword reactions: MU+ DEUT --> MU+ PI+ X,,,,,,,,,,,,
#: keyword observables: ASYM,,,,,,,,,,,,
#: keyword phrases: Inclusive | Asymmetry Measurement | Muon production | Neutral Current | Deep Inelastic Scattering,,,,,,,,,,,,
#: PLAB [GeV],,,160,,,,,,,,,
#: RE,,,MU+ DEUT --> MU+ PI+ X,,,,,,,,,
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.,,,,,,,,,
hadron,proj,x,x lower,x upper,Q^2,Q,y,z,pT,SQRT(S) [GeV],Collins_asym,error
pi+,x,0.006469,0.003,0.008,1.24,1.113552873,0.65,0.29,0.53,160,-0.0647,0.0252
pi+,x,0.01059,0.008,0.013,1.45,1.204159458,0.46,0.33,0.52,160,-0.0039,0.0124
pi+,x,0.01643,0.013,0.02,1.67,1.292284798,0.34,0.35,0.49,160,0.0078,0.0093
pi+,x,0.02556,0.02,0.032,1.99,1.410673598,0.26,0.37,0.46,160,-0.0007,0.0079
pi+,x,0.03967,0.032,0.05,2.79,1.670329309,0.23,0.39,0.45,160,0.0131,0.0088
pi+,x,0.06255,0.05,0.08,4.54,2.130727575,0.24,0.38,0.46,160,0.0085,0.0111
pi+,x,0.1005,0.08,0.13,7.4,2.720294102,0.25,0.37,0.46,160,0.0018,0.0146
pi+,x,0.1609,0.13,0.21,11.8,3.435112807,0.24,0.37,0.47,160,0.0214,0.0218
pi+,x,0.2781,0.21,1,23.8,4.878524367,0.28,0.36,0.51,160,-0.0085,0.0376
pi-,x,0.006453,0.003,0.008,1.24,1.113552873,0.65,0.29,0.54,160,0.0261,0.026
pi-,x,0.01057,0.008,0.013,1.46,1.208304597,0.47,0.32,0.52,160,0.013,0.0128
pi-,x,0.01641,0.013,0.02,1.68,1.29614814,0.35,0.35,0.49,160,0.0192,0.0098
pi-,x,0.02552,0.02,0.032,2.02,1.42126704,0.27,0.37,0.46,160,-0.0015,0.0084
pi-,x,0.03964,0.032,0.05,2.82,1.679285562,0.24,0.38,0.45,160,-0.012,0.0095
pi-,x,0.06247,0.05,0.08,4.59,2.142428529,0.25,0.38,0.45,160,0.0154,0.0121
pi-,x,0.1004,0.08,0.13,7.42,2.723967694,0.25,0.36,0.46,160,0.0021,0.0164
pi-,x,0.1607,0.13,0.21,11.9,3.449637662,0.25,0.36,0.47,160,0.0059,0.0251
pi-,x,0.2781,0.21,1,23.9,4.888762625,0.28,0.35,0.51,160,0.0076,0.0453
