#: table_doi: 10.17182/hepdata.48532.v1/t3,,,,,,,,,,,,
#: name: Table 3 & 5,,,,,,,,,,,,
#: description: The Collins and Sivers asymmetry as a function of Z for 'ALL'  pions from the 2003-2004 data.. Errors are statistical only.,,,,,,,,,,,,
,,,,,,,,,,,,
#: data_file: Table3.yaml,,,,,,,,,,,,
#: keyword reactions: MU+ DEUT --> MU+ PI+ X,,,,,,,,,,,,
#: keyword observables: ASYM,,,,,,,,,,,,
#: keyword phrases: Inclusive | Asymmetry Measurement | Muon production | Neutral Current | Deep Inelastic Scattering,,,,,,,,,,,,
#: PLAB [GeV],,,160,,,,,,,,,
#: RE,,,MU+ DEUT --> MU+ PI+ X,,,,,,,,,
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.,,,,,,,,,
hadron,proj,z,z lower,z lower,Q^2,Q,y,x,pT,SQRT(S) [GeV],Collins_asym,error
pi+,z,0.2237,0.2,0.25,3.43,1.852025918,0.36,0.037,0.43,160,0.0013,0.0078
pi+,z,0.2737,0.25,0.3,3.37,1.835755975,0.34,0.039,0.45,160,-0.0055,0.009
pi+,z,0.3237,0.3,0.35,3.33,1.824828759,0.32,0.041,0.48,160,0.0011,0.0106
pi+,z,0.3737,0.35,0.4,3.28,1.811077028,0.3,0.042,0.49,160,0.0134,0.0122
pi+,z,0.4448,0.4,0.5,3.19,1.78605711,0.28,0.044,0.52,160,0.0089,0.0109
pi+,z,0.5646,0.5,0.65,3.03,1.740689519,0.25,0.046,0.54,160,0.0106,0.0124
pi+,z,0.7164,0.65,0.8,2.74,1.655294536,0.22,0.046,0.54,160,-0.0048,0.0179
pi+,z,0.8787,0.8,1,2.4,1.549193338,0.19,0.045,0.47,160,-0.0107,0.0243
pi-,z,0.2236,0.2,0.25,3.31,1.81934054,0.37,0.036,0.44,160,0.014,0.0083
pi-,z,0.2736,0.25,0.3,3.25,1.802775638,0.35,0.038,0.46,160,0.014,0.0096
pi-,z,0.3236,0.3,0.35,3.19,1.78605711,0.33,0.039,0.48,160,0.0001,0.0113
pi-,z,0.3736,0.35,0.4,3.13,1.769180601,0.31,0.04,0.5,160,-0.0061,0.0132
pi-,z,0.4446,0.4,0.5,3.02,1.73781472,0.28,0.041,0.52,160,-0.0107,0.012
pi-,z,0.5643,0.5,0.65,2.81,1.676305461,0.25,0.042,0.54,160,0.0086,0.0138
pi-,z,0.7171,0.65,0.8,2.51,1.584297952,0.22,0.042,0.52,160,0.0121,0.0199
pi-,z,0.8794,0.8,1,2.21,1.486606875,0.19,0.041,0.43,160,-0.0214,0.0254
