#: table_doi: ,,,,,,,,,,,,,
#: name: ,,,,,,,,,,,,,
#: description: The Collins and Sivers asymmetry as a function of X for 'ALL'  pions from the 2007-2010 data.. Errors are statistical only.,,,,,,,,,,,,,
,,,,,,,,,,,,,
#: data_file: 20140313_std_pions.txt,,,,,,,,,,,,,
#: keyword reactions: MU+ DEUT --> MU+ PI+ X,,,,,,,,,,,,,
#: keyword observables: ASYM,,,,,,,,,,,,,
#: keyword phrases: Inclusive | Asymmetry Measurement | Muon production | Neutral Current | Deep Inelastic Scattering,,,,,,,,,,,,,
#: PLAB [GeV],,,160,,,,,,,,,,
#: RE,,,MU+ DEUT --> MU+ PI+ X,,,,,,,,,,
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.,,,,,,,,,,
hadron,proj,x,x lower,x upper,Q^2,Q,y,z,pT,W,SQRT(S) [GeV],Collins_asym,error
pi+,x,0.0065,0.003,0.008,1.24,1.113552873,0.65,0.28,0.54,13.86,160,-0.0154,0.0179
pi+,x,0.0106,0.008,0.013,1.46,1.208304597,0.47,0.32,0.52,11.69,160,-0.0125,0.0085
pi+,x,0.0164,0.013,0.02,1.71,1.307669683,0.35,0.35,0.51,10.04,160,0.0039,0.0064
pi+,x,0.0257,0.02,0.032,2.04,1.428285686,0.27,0.36,0.49,8.65,160,0.0016,0.0052
pi+,x,0.0399,0.032,0.05,2.7,1.643167673,0.23,0.37,0.48,7.86,160,-0.0092,0.0053
pi+,x,0.0627,0.05,0.08,4.2,2.049390153,0.23,0.37,0.48,7.73,160,-0.01,0.0062
pi+,x,0.1009,0.08,0.13,6.65,2.578759392,0.22,0.36,0.48,7.52,160,-0.0371,0.0075
pi+,x,0.1621,0.13,0.21,10.48,3.237282811,0.22,0.36,0.48,7.19,160,-0.0362,0.0096
pi+,x,0.2876,0.21,0.7,20.94,4.576024475,0.24,0.36,0.51,6.94,160,-0.0531,0.0127
pi-,x,0.0064,0.003,0.008,1.24,1.113552873,0.65,0.29,0.54,160,13.89,-0.0299,0.0186
pi-,x,0.0106,0.008,0.013,1.47,1.212435565,0.47,0.32,0.52,160,11.72,0.0048,0.009
pi-,x,0.0164,0.013,0.02,1.72,1.311487705,0.35,0.34,0.5,160,10.07,0.0118,0.0069
pi-,x,0.0257,0.02,0.032,2.05,1.431782106,0.27,0.36,0.49,160,8.67,0.005,0.0056
pi-,x,0.0398,0.032,0.05,2.7,1.643167673,0.23,0.36,0.48,160,7.87,0.0071,0.0058
pi-,x,0.0626,0.05,0.08,4.21,2.051828453,0.23,0.36,0.48,160,7.73,0.0248,0.007
pi-,x,0.1007,0.08,0.13,6.64,2.576819745,0.22,0.35,0.48,160,7.52,0.0292,0.0086
pi-,x,0.1619,0.13,0.21,10.48,3.237282811,0.22,0.35,0.48,160,7.19,0.0494,0.0113
pi-,x,0.2867,0.21,0.7,20.77,4.557411546,0.24,0.34,0.51,160,6.93,0.0754,0.0152
