#: table_doi: ,,,,,,,,,,,,,
#: name: ,,,,,,,,,,,,,
#: description: The Collins and Sivers asymmetry as a function of Z for 'ALL' pions from the 2007-2010 data.. Errors are statistical only.,,,,,,,,,,,,,
,,,,,,,,,,,,,
#: data_file: 20140313_std_pions.txt,,,,,,,,,,,,,
#: keyword reactions: MU+ P --> MU+ PI+ X,,,,,,,,,,,,,
#: keyword observables: ASYM,,,,,,,,,,,,,
#: keyword phrases: Inclusive | Asymmetry Measurement | Muon production | Neutral Current | Deep Inelastic Scattering,,,,,,,,,,,,,
#: PLAB [GeV],,,160,,,,,,,,,,
#: RE,,,MU+ DEUT --> MU+ PI+ X,,,,,,,,,,
#: SYS,,,Systematic errors are estimated to be considerably smaller than statistical errors.,,,,,,,,,,
hadron,proj,z,z lower,z lower,Q^2,Q,y,x,pT,SQRT(S) [GeV],W,Collins_asym,error
pi+,z,0.223,0.2,0.25,3.71,1.926136028,0.33,0.046,0.45,160,9.42,-0.0067,0.0046
pi+,z,0.274,0.25,0.3,3.71,1.926136028,0.32,0.048,0.47,160,9.21,-0.0073,0.0055
pi+,z,0.324,0.3,0.35,3.68,1.918332609,0.31,0.049,0.5,160,9.03,-0.0082,0.0065
pi+,z,0.374,0.35,0.4,3.64,1.907878403,0.29,0.051,0.52,160,8.81,-0.0201,0.0076
pi+,z,0.445,0.4,0.5,3.54,1.881488772,0.27,0.052,0.54,160,8.48,-0.0162,0.0067
pi+,z,0.565,0.5,0.65,3.37,1.835755975,0.24,0.054,0.57,160,8.02,-0.0072,0.0077
pi+,z,0.716,0.65,0.8,3.07,1.752141547,0.21,0.054,0.56,160,7.58,-0.0155,0.0109
pi+,z,0.877,0.8,1,2.7,1.643167673,0.19,0.052,0.47,160,7.22,-0.0465,0.0147
pi-,z,0.223,0.2,0.25,3.57,1.889444363,0.34,0.044,0.45,160,9.5,0.0057,0.005
pi-,z,0.273,0.25,0.3,3.54,1.881488772,0.32,0.045,0.48,160,9.31,0.024,0.006
pi-,z,0.323,0.3,0.35,3.49,1.868154169,0.31,0.046,0.5,160,9.14,0.0107,0.0071
pi-,z,0.373,0.35,0.4,3.42,1.849324201,0.3,0.047,0.52,160,8.92,0.0164,0.0084
pi-,z,0.444,0.4,0.5,3.3,1.816590212,0.27,0.048,0.54,160,8.58,0.0235,0.0075
pi-,z,0.564,0.5,0.65,3.08,1.754992877,0.24,0.05,0.55,160,8.1,0.021,0.0088
pi-,z,0.716,0.65,0.8,2.75,1.658312395,0.21,0.049,0.53,160,7.64,-0.0014,0.0127
pi-,z,0.878,0.8,1,2.42,1.555634919,0.19,0.047,0.43,160,7.27,0.0019,0.0168
