"#   HERMES Collaboration, A. Airapetian et al., JHEP12(2020)010  ",,,,,,,,,,,,,,,,
"#  A_UT^sin(phi+phis)/e SFA SSA in 3D bins of x, z, Pt",,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,
particle,x_lower,x_upper,z_lower,z_upper,pT_lower,pT_upper,Q^2,Q,x,y,z,pT,e,Collins_asym,stat_u,syst_u
pi+,0.023,0.072,0.2,0.28,0,0.23,1.463,1.2095,0.052,0.561,0.236,0.151,0.708,-0.023663,0.037526,0.015787
pi+,0.023,0.072,0.2,0.28,0.23,0.36,1.514,1.2304,0.048,0.632,0.235,0.298,0.619,-0.002118,0.023739,0.006711
pi+,0.023,0.072,0.2,0.28,0.36,0.54,1.543,1.2422,0.046,0.673,0.237,0.443,0.564,0.023499,0.0175,0.005671
pi+,0.023,0.072,0.2,0.28,0.54,2,1.593,1.2621,0.043,0.73,0.242,0.655,0.483,0.019656,0.029661,0.001977
pi+,0.023,0.072,0.28,0.37,0,0.23,1.432,1.1967,0.054,0.525,0.32,0.15,0.75,-0.042461,0.040381,0.003046
pi+,0.023,0.072,0.28,0.37,0.23,0.36,1.484,1.2182,0.05,0.595,0.32,0.297,0.665,0.032543,0.0609,0.018224
pi+,0.023,0.072,0.28,0.37,0.36,0.54,1.518,1.2321,0.047,0.64,0.32,0.449,0.607,0.027272,0.023911,0.002442
pi+,0.023,0.072,0.28,0.37,0.54,2,1.56,1.249,0.045,0.692,0.323,0.699,0.536,0.046925,0.02331,0.003105
pi+,0.023,0.072,0.37,0.49,0,0.23,1.401,1.1836,0.055,0.504,0.422,0.151,0.775,-0.001015,0.04405,0.005101
pi+,0.023,0.072,0.37,0.49,0.23,0.36,1.451,1.2046,0.051,0.563,0.422,0.298,0.705,-0.058893,0.076425,0.008179
pi+,0.023,0.072,0.37,0.49,0.36,0.54,1.492,1.2215,0.049,0.609,0.423,0.447,0.648,0.044388,0.051023,0.005117
pi+,0.023,0.072,0.37,0.49,0.54,2,1.54,1.241,0.046,0.668,0.425,0.747,0.569,0.051346,0.023474,0.006541
pi+,0.023,0.072,0.49,0.7,0,0.23,1.377,1.1735,0.056,0.488,0.579,0.151,0.793,-0.013521,0.046866,0.008581
pi+,0.023,0.072,0.49,0.7,0.23,0.36,1.407,1.1862,0.053,0.529,0.578,0.298,0.745,0.070838,0.072306,0.024153
pi+,0.023,0.072,0.49,0.7,0.36,0.54,1.449,1.2037,0.051,0.571,0.577,0.448,0.695,0.022213,0.076625,0.011191
pi+,0.023,0.072,0.49,0.7,0.54,2,1.513,1.23,0.048,0.633,0.577,0.786,0.618,-0.019139,0.030645,0.010217
pi+,0.072,0.098,0.2,0.28,0,0.23,2.102,1.4498,0.084,0.484,0.239,0.14,0.792,0.032277,0.031764,0.003192
pi+,0.072,0.098,0.2,0.28,0.23,0.36,2.387,1.545,0.084,0.55,0.238,0.295,0.721,0.017627,0.035663,0.001075
pi+,0.072,0.098,0.2,0.28,0.36,0.54,2.471,1.5719,0.084,0.572,0.239,0.441,0.692,-0.01431,0.031042,0.004552
pi+,0.072,0.098,0.2,0.28,0.54,2,2.732,1.6529,0.084,0.633,0.244,0.643,0.62,0.052564,0.06378,0.006063
pi+,0.072,0.098,0.28,0.37,0,0.23,1.893,1.3759,0.084,0.434,0.321,0.142,0.834,0.086126,0.031113,0.004707
pi+,0.072,0.098,0.28,0.37,0.23,0.36,2.143,1.4639,0.084,0.492,0.322,0.293,0.778,-0.028208,0.053512,0.007009
pi+,0.072,0.098,0.28,0.37,0.36,0.54,2.297,1.5156,0.084,0.53,0.321,0.444,0.736,-0.012067,0.033906,0.001739
pi+,0.072,0.098,0.28,0.37,0.54,2,2.51,1.5843,0.084,0.581,0.325,0.676,0.678,-0.089974,0.043146,0.005482
pi+,0.072,0.098,0.37,0.49,0,0.23,1.833,1.3539,0.085,0.42,0.423,0.146,0.846,-0.104608,0.033793,0.001499
pi+,0.072,0.098,0.37,0.49,0.23,0.36,1.986,1.4093,0.085,0.455,0.424,0.293,0.812,-0.040993,0.050105,0.002229
pi+,0.072,0.098,0.37,0.49,0.36,0.54,2.178,1.4758,0.084,0.502,0.425,0.443,0.766,0.006343,0.054549,0.005991
pi+,0.072,0.098,0.37,0.49,0.54,2,2.383,1.5437,0.084,0.551,0.427,0.719,0.711,0.020197,0.037709,0.001943
pi+,0.072,0.098,0.49,0.7,0,0.23,1.778,1.3334,0.085,0.407,0.578,0.148,0.857,-0.01756,0.038751,0.007486
pi+,0.072,0.098,0.49,0.7,0.23,0.36,1.866,1.366,0.085,0.427,0.58,0.295,0.838,-0.0446,0.044625,0.013577
pi+,0.072,0.098,0.49,0.7,0.36,0.54,2.015,1.4195,0.084,0.463,0.583,0.443,0.806,0.056704,0.058274,0.009807
pi+,0.072,0.098,0.49,0.7,0.54,2,2.294,1.5146,0.084,0.53,0.583,0.754,0.736,0.06311,0.042192,0.018792
pi+,0.098,0.138,0.2,0.28,0,0.23,2.862,1.6917,0.116,0.477,0.239,0.139,0.799,0.055034,0.026897,0.004335
pi+,0.098,0.138,0.2,0.28,0.23,0.36,3.18,1.7833,0.116,0.532,0.239,0.292,0.742,0.061943,0.036423,0.0013
pi+,0.098,0.138,0.2,0.28,0.36,0.54,3.263,1.8064,0.115,0.547,0.239,0.441,0.721,0.032534,0.035068,0.00413
pi+,0.098,0.138,0.2,0.28,0.54,2,3.527,1.878,0.115,0.593,0.244,0.638,0.67,0.089967,0.075914,0.007992
pi+,0.098,0.138,0.28,0.37,0,0.23,2.533,1.5915,0.116,0.422,0.322,0.143,0.843,-0.024469,0.026472,0.0068
pi+,0.098,0.138,0.28,0.37,0.23,0.36,2.813,1.6772,0.116,0.469,0.323,0.291,0.799,0.006966,0.041101,0.006171
pi+,0.098,0.138,0.28,0.37,0.36,0.54,3.033,1.7416,0.116,0.508,0.322,0.442,0.759,-0.000979,0.036027,0.008977
pi+,0.098,0.138,0.28,0.37,0.54,2,3.211,1.7919,0.115,0.539,0.325,0.672,0.725,0.110984,0.049755,0.00131
pi+,0.098,0.138,0.37,0.49,0,0.23,2.411,1.5527,0.116,0.402,0.423,0.148,0.857,0.049968,0.030006,0.00276
pi+,0.098,0.138,0.37,0.49,0.23,0.36,2.51,1.5843,0.116,0.418,0.426,0.293,0.841,0.093632,0.036367,0.011428
pi+,0.098,0.138,0.37,0.49,0.36,0.54,2.841,1.6855,0.116,0.475,0.427,0.441,0.791,0.097617,0.045155,0.011965
pi+,0.098,0.138,0.37,0.49,0.54,2,3.112,1.7641,0.116,0.521,0.427,0.716,0.741,0.085483,0.040397,0.00893
pi+,0.098,0.138,0.49,0.7,0,0.23,2.384,1.544,0.116,0.398,0.577,0.151,0.862,0.0356,0.035021,0.004197
pi+,0.098,0.138,0.49,0.7,0.23,0.36,2.396,1.5479,0.116,0.4,0.579,0.296,0.858,0.0555,0.035825,0.009447
pi+,0.098,0.138,0.49,0.7,0.36,0.54,2.549,1.5966,0.116,0.426,0.582,0.441,0.835,-0.020868,0.039641,0.011924
pi+,0.098,0.138,0.49,0.7,0.54,2,2.983,1.7271,0.115,0.5,0.584,0.742,0.765,0.019658,0.040418,0.010203
pi+,0.138,0.6,0.2,0.28,0,0.23,4.948,2.2244,0.205,0.467,0.239,0.141,0.811,0.027213,0.021014,0.005225
pi+,0.138,0.6,0.2,0.28,0.23,0.36,5.256,2.2926,0.214,0.486,0.241,0.29,0.79,0.016665,0.030651,0.006107
pi+,0.138,0.6,0.2,0.28,0.36,0.54,5.21,2.2825,0.207,0.497,0.24,0.44,0.776,0.024041,0.041666,0.004398
pi+,0.138,0.6,0.2,0.28,0.54,2,5.422,2.3285,0.209,0.515,0.244,0.637,0.759,0.153637,0.129073,0.000975
pi+,0.138,0.6,0.28,0.37,0,0.23,4.481,2.1168,0.201,0.428,0.321,0.147,0.841,0.023745,0.022414,0.005665
pi+,0.138,0.6,0.28,0.37,0.23,0.36,4.641,2.1543,0.21,0.43,0.323,0.292,0.835,-0.017966,0.028945,0.007762
pi+,0.138,0.6,0.28,0.37,0.36,0.54,4.886,2.2104,0.211,0.457,0.324,0.439,0.81,0.013675,0.03421,0.006711
pi+,0.138,0.6,0.28,0.37,0.54,2,4.932,2.2208,0.205,0.474,0.325,0.671,0.793,0.070501,0.061459,0.005459
pi+,0.138,0.6,0.37,0.49,0,0.23,4.384,2.0938,0.201,0.419,0.422,0.15,0.847,0.060307,0.025828,0.007151
pi+,0.138,0.6,0.37,0.49,0.23,0.36,4.384,2.0938,0.205,0.413,0.424,0.294,0.85,0.077337,0.029071,5.90E-05
pi+,0.138,0.6,0.37,0.49,0.36,0.54,4.646,2.1555,0.21,0.432,0.427,0.438,0.832,0.015297,0.032303,0.00393
pi+,0.138,0.6,0.37,0.49,0.54,2,4.84,2.2,0.205,0.466,0.427,0.704,0.799,-0.057511,0.043092,0.009962
pi+,0.138,0.6,0.49,0.7,0,0.23,4.333,2.0816,0.2,0.414,0.575,0.153,0.852,0.045113,0.030533,0.011467
pi+,0.138,0.6,0.49,0.7,0.23,0.36,4.281,2.0691,0.2,0.41,0.577,0.296,0.852,0.055187,0.031522,0.006662
pi+,0.138,0.6,0.49,0.7,0.36,0.54,4.411,2.1002,0.206,0.413,0.58,0.444,0.848,0.064114,0.030612,0.001398
pi+,0.138,0.6,0.49,0.7,0.54,2,4.822,2.1959,0.209,0.454,0.587,0.723,0.811,0.048417,0.034592,0.003067
pi-,0.023,0.072,0.2,0.28,0,0.23,1.458,1.2075,0.052,0.561,0.236,0.152,0.709,-0.010621,0.043241,0.00049
pi-,0.023,0.072,0.2,0.28,0.23,0.36,1.51,1.2288,0.047,0.636,0.234,0.298,0.613,-0.006615,0.025959,0.000702
pi-,0.023,0.072,0.2,0.28,0.36,0.54,1.533,1.2381,0.045,0.674,0.236,0.443,0.561,-0.033996,0.019722,0.003609
pi-,0.023,0.072,0.2,0.28,0.54,2,1.581,1.2574,0.043,0.729,0.241,0.658,0.483,-0.043565,0.032918,0.003733
pi-,0.023,0.072,0.28,0.37,0,0.23,1.43,1.1958,0.054,0.527,0.32,0.15,0.748,-0.041778,0.046855,0.00237
pi-,0.023,0.072,0.28,0.37,0.23,0.36,1.477,1.2153,0.049,0.597,0.32,0.296,0.662,-0.115026,0.07104,0.004949
pi-,0.023,0.072,0.28,0.37,0.36,0.54,1.505,1.2268,0.047,0.643,0.319,0.449,0.603,-0.046751,0.026513,0.003788
pi-,0.023,0.072,0.28,0.37,0.54,2,1.551,1.2454,0.045,0.692,0.323,0.703,0.536,-0.017072,0.025953,0.006002
pi-,0.023,0.072,0.37,0.49,0,0.23,1.398,1.1824,0.055,0.505,0.422,0.152,0.774,-0.058461,0.051384,0.009103
pi-,0.023,0.072,0.37,0.49,0.23,0.36,1.446,1.2025,0.051,0.566,0.423,0.298,0.701,0.092633,0.088557,0.001352
pi-,0.023,0.072,0.37,0.49,0.36,0.54,1.488,1.2198,0.048,0.615,0.423,0.448,0.64,-0.020858,0.054704,0.002658
pi-,0.023,0.072,0.37,0.49,0.54,2,1.527,1.2357,0.046,0.669,0.424,0.749,0.568,-0.025143,0.027147,0.000978
pi-,0.023,0.072,0.49,0.7,0,0.23,1.371,1.1709,0.056,0.487,0.579,0.151,0.794,0.037601,0.051999,0.005594
pi-,0.023,0.072,0.49,0.7,0.23,0.36,1.409,1.187,0.053,0.532,0.58,0.298,0.743,0.017465,0.084404,0.00057
pi-,0.023,0.072,0.49,0.7,0.36,0.54,1.439,1.1996,0.05,0.575,0.578,0.446,0.691,-0.054006,0.09585,0.005451
pi-,0.023,0.072,0.49,0.7,0.54,2,1.508,1.228,0.047,0.638,0.573,0.785,0.611,-0.054081,0.036316,0.006324
pi-,0.072,0.098,0.2,0.28,0,0.23,2.104,1.4505,0.084,0.484,0.239,0.14,0.791,0.042052,0.036007,0.007268
pi-,0.072,0.098,0.2,0.28,0.23,0.36,2.369,1.5392,0.084,0.547,0.237,0.294,0.724,0.005898,0.039709,0.002453
pi-,0.072,0.098,0.2,0.28,0.36,0.54,2.456,1.5672,0.084,0.569,0.238,0.44,0.695,-0.010689,0.035361,0.007459
pi-,0.072,0.098,0.2,0.28,0.54,2,2.723,1.6502,0.083,0.632,0.244,0.644,0.622,-0.037598,0.071774,0.015584
pi-,0.072,0.098,0.28,0.37,0,0.23,1.884,1.3726,0.084,0.432,0.321,0.142,0.836,0.00606,0.036209,0.001848
pi-,0.072,0.098,0.28,0.37,0.23,0.36,2.126,1.4581,0.084,0.49,0.322,0.292,0.779,-0.003943,0.064164,0.000197
pi-,0.072,0.098,0.28,0.37,0.36,0.54,2.261,1.5037,0.084,0.523,0.32,0.445,0.742,-0.021195,0.040194,0.00097
pi-,0.072,0.098,0.28,0.37,0.54,2,2.484,1.5761,0.084,0.575,0.324,0.678,0.685,-0.016288,0.050539,0.003583
pi-,0.072,0.098,0.37,0.49,0,0.23,1.818,1.3483,0.084,0.418,0.423,0.146,0.847,-0.005851,0.040382,0.005169
pi-,0.072,0.098,0.37,0.49,0.23,0.36,1.952,1.3971,0.084,0.448,0.424,0.292,0.819,0.095558,0.060216,0.006309
pi-,0.072,0.098,0.37,0.49,0.36,0.54,2.174,1.4744,0.084,0.502,0.424,0.442,0.767,-0.072665,0.064195,0.003766
pi-,0.072,0.098,0.37,0.49,0.54,2,2.369,1.5392,0.084,0.546,0.425,0.724,0.715,-0.032418,0.04511,0.007794
pi-,0.072,0.098,0.49,0.7,0,0.23,1.776,1.3327,0.084,0.407,0.579,0.148,0.856,-0.072237,0.046427,0.000312
pi-,0.072,0.098,0.49,0.7,0.23,0.36,1.849,1.3598,0.084,0.425,0.581,0.295,0.84,-0.034803,0.051382,0.011178
pi-,0.072,0.098,0.49,0.7,0.36,0.54,1.997,1.4132,0.084,0.461,0.582,0.442,0.808,0.020747,0.069028,0.000287
pi-,0.072,0.098,0.49,0.7,0.54,2,2.264,1.5047,0.084,0.524,0.58,0.751,0.743,-0.074602,0.051968,0.010423
pi-,0.098,0.138,0.2,0.28,0,0.23,2.857,1.6903,0.116,0.477,0.239,0.138,0.799,-0.003172,0.030976,8.80E-05
pi-,0.098,0.138,0.2,0.28,0.23,0.36,3.173,1.7813,0.116,0.531,0.238,0.292,0.743,0.003112,0.042662,0.002207
pi-,0.098,0.138,0.2,0.28,0.36,0.54,3.245,1.8014,0.115,0.545,0.239,0.442,0.724,-0.02029,0.041917,0.002243
pi-,0.098,0.138,0.2,0.28,0.54,2,3.539,1.8812,0.116,0.593,0.244,0.645,0.671,-0.061893,0.097201,0.02365
pi-,0.098,0.138,0.28,0.37,0,0.23,2.515,1.5859,0.116,0.42,0.321,0.144,0.844,-0.003551,0.031546,0.002707
pi-,0.098,0.138,0.28,0.37,0.23,0.36,2.771,1.6646,0.116,0.462,0.323,0.291,0.806,0.03771,0.049028,0.0005
pi-,0.098,0.138,0.28,0.37,0.36,0.54,2.983,1.7271,0.116,0.5,0.322,0.444,0.766,-0.040023,0.041786,0.001129
pi-,0.098,0.138,0.28,0.37,0.54,2,3.175,1.7819,0.116,0.532,0.324,0.675,0.732,-0.074442,0.057929,0.005225
pi-,0.098,0.138,0.37,0.49,0,0.23,2.391,1.5463,0.116,0.399,0.422,0.148,0.86,0.027715,0.036556,0.0011
pi-,0.098,0.138,0.37,0.49,0.23,0.36,2.477,1.5738,0.116,0.413,0.425,0.293,0.845,0.01137,0.043563,0.003881
pi-,0.098,0.138,0.37,0.49,0.36,0.54,2.798,1.6727,0.116,0.467,0.426,0.441,0.797,-0.040119,0.055179,0.002217
pi-,0.098,0.138,0.37,0.49,0.54,2,2.998,1.7315,0.115,0.504,0.424,0.716,0.756,-0.07704,0.048379,0.000729
pi-,0.098,0.138,0.49,0.7,0,0.23,2.368,1.5388,0.116,0.396,0.579,0.15,0.863,0.005657,0.042234,0.007128
pi-,0.098,0.138,0.49,0.7,0.23,0.36,2.387,1.545,0.116,0.399,0.577,0.295,0.859,0.007006,0.044035,0.002188
pi-,0.098,0.138,0.49,0.7,0.36,0.54,2.549,1.5966,0.116,0.426,0.583,0.441,0.834,0.01856,0.050835,0.005479
pi-,0.098,0.138,0.49,0.7,0.54,2,2.916,1.7076,0.115,0.49,0.581,0.747,0.774,-0.116633,0.051178,0.01136
pi-,0.138,0.6,0.2,0.28,0,0.23,4.912,2.2163,0.204,0.467,0.239,0.141,0.811,-0.032182,0.025233,0.001841
