#: table_doi: 10.17182/hepdata.103056.v1/t11,,,,,,,,,
#: name: Figure 12La,,,,,,,,,
#: description: Collins asymmetries as a function of particle-jet $p_T$.,,,,,,,,,
#: data_file: fig12La.yaml,,,,,,,,,
#: keyword reactions: p + p --> jet + pi + X,,,,,,,,,
#: keyword cmenergies: 500.0,,,,,,,,,
#: keyword phrases: polarized pp collisions | jet | pions | midrapidity,,,,,,,,,
#: j$_T$ [GeV/$c$],,,,,,,,,
particle,<eta>,<z>,<pT>,j$_T$ [GeV/$c$],j$_T$ [GeV/$c$] LOW,j$_T$ [GeV/$c$] HIGH,$A_{UT}^{\sin(\theta_S - \theta_H)}$,Stat. error +,Syst. error +
pi+,0.5,0.13,31,0.2071,0.1911,0.2231,0.00126,0.013,0.0002
pi+,0.5,0.13,31,0.2727,0.2663,0.2791,0.0225,0.007,0.0007
pi+,0.5,0.13,31,0.4035,0.3965,0.4105,0.00795,0.005,0.00025
pi+,0.5,0.13,31,0.5916,0.5829,0.6003,0.00352,0.006,0.00013
pi+,0.5,0.13,31,0.8389,0.8259,0.8519,0.007,0.008,0.00033
pi+,0.5,0.13,31,1.228,1.195,1.261,0.0075,0.011,0.0004
pi-,0.5,0.13,31,0.2071,0.1911,0.2231,-0.0273,0.013,0.0009
pi-,0.5,0.13,31,0.2727,0.2663,0.2791,-0.0127,0.007,0.0004
pi-,0.5,0.13,31,0.4035,0.3965,0.4105,-0.0133,0.005,0.0004
pi-,0.5,0.13,31,0.5916,0.5829,0.6003,0.00689,0.006,0.00025
pi-,0.5,0.13,31,0.8389,0.8259,0.8519,0.0009,0.008,0.00014
pi-,0.5,0.13,31,1.228,1.195,1.261,6.00E-05,0.011,0.00018
pi+,-0.5,0.13,31,0.2071,0.1911,0.2231,-0.00563,0.013,0.00026
pi+,-0.5,0.13,31,0.2727,0.2663,0.2791,0.00726,0.007,0.00024
pi+,-0.5,0.13,31,0.4035,0.3965,0.4105,0.00131,0.005,7.00E-05
pi+,-0.5,0.13,31,0.5916,0.5829,0.6003,0.00532,0.006,0.00021
pi+,-0.5,0.13,31,0.8389,0.8259,0.8519,0.0139,0.008,0.0007
pi+,-0.5,0.13,31,1.228,1.195,1.261,0.025,0.011,0.0013
pi-,-0.5,0.13,31,0.2071,0.1911,0.2231,0.0019,0.013,0.0005
pi-,-0.5,0.13,31,0.2727,0.2663,0.2791,-0.00772,0.007,0.00024
pi-,-0.5,0.13,31,0.4035,0.3965,0.4105,-0.0086,0.005,0.00027
pi-,-0.5,0.13,31,0.5916,0.5829,0.6003,-0.00691,0.007,0.00026
pi-,-0.5,0.13,31,0.8389,0.8259,0.8519,0.00295,0.008,0.00015
pi-,-0.5,0.13,31,1.228,1.195,1.261,-0.00606,0.011,0.00033
pi+,0.5,0.23,31,0.3025,0.2725,0.3325,0.004,0.023,0.0008
pi+,0.5,0.23,31,0.4368,0.4248,0.4488,0.0174,0.01,0.0005
pi+,0.5,0.23,31,0.6238,0.5958,0.6518,0.0136,0.011,0.0004
pi+,0.5,0.23,31,0.8131,0.7831,0.8431,0.00896,0.013,0.0003
pi+,0.5,0.23,31,1.341,1.294,1.388,-0.0153,0.016,0.0007
pi-,0.5,0.23,31,0.3025,0.2725,0.3325,-0.01,0.024,0.0008
