#: table_doi: 10.17182/hepdata.103056.v1/t11,,,,,,,,
#: name: Figure 12La,,,,,,,,
#: description: Collins asymmetries as a function of particle-jet $p_T$.,,,,,,,,
#: data_file: fig12La.yaml,,,,,,,,
#: keyword reactions: p + p --> jet + pi + X,,,,,,,,
#: keyword cmenergies: 500.0,,,,,,,,
#: keyword phrases: polarized pp collisions | jet | pions | midrapidity,,,,,,,,
#: Particle-jet $p_T$ [GeV/$c$],,,$A_{UT}(\pi^+, 0 < \eta_{jet}< 1)$ for $<z> = 0.14$,,,,
particle,<eta>,<z>,pTjet,Particle-jet $p_T$ [GeV/$c$] LOW,Particle-jet $p_T$ [GeV/$c$] HIGH,$A_{UT}^{\sin(\theta_S - \theta_H)}$,Stat. error,Syst. Error
pi+,0.5,0.14,6.242,5.972,6.512,0.011,0.018,0.006
pi+,0.5,0.14,7.993,7.473,8.513,0.0046,0.013,0.001
pi+,0.5,0.14,9.627,9.007,10.247,-0.0062,0.009,0.0021
pi+,0.5,0.14,11.52,10.74,12.3,-0.0018,0.007,0.0005
pi+,0.5,0.14,13.63,12.86,14.4,0.005,0.007,0.0009
pi+,0.5,0.14,16.01,15.37,16.65,0.0133,0.007,0.0015
pi+,0.5,0.14,20.34,19.36,21.32,0.00144,0.006,0.00021
pi+,0.5,0.14,23.37,22.37,24.37,-0.00134,0.004,0.00014
pi+,0.5,0.14,26.97,25.87,28.07,0.00981,0.004,0.0003
pi+,0.5,0.14,31.23,30.03,32.43,0.00384,0.006,0.00013
pi+,0.5,0.14,36.29,34.89,37.69,0.0155,0.008,0.0006
pi+,0.5,0.14,42.64,41.04,44.24,0.0256,0.012,0.0008
pi+,0.5,0.14,51.17,49.37,52.97,-0.00766,0.021,0.00033
pi-,0.5,0.14,6.242,5.972,6.512,0.0132,0.019,0.0012
pi-,0.5,0.14,7.993,7.473,8.513,-0.0123,0.012,0.0022
pi-,0.5,0.14,9.627,9.007,10.247,-0.0059,0.01,0.0015
pi-,0.5,0.14,11.52,10.74,12.3,-0.004,0.007,0.0008
pi-,0.5,0.14,13.63,12.86,14.4,0.005,0.008,0.0009
pi-,0.5,0.14,16.01,15.37,16.65,-0.0182,0.007,0.0015
pi-,0.5,0.14,20.34,19.36,21.32,-0.0102,0.006,0.0008
pi-,0.5,0.14,23.37,22.37,24.37,-0.0062,0.005,0.0005
pi-,0.5,0.14,26.97,25.87,28.07,-0.00093,0.005,5.00E-05
pi-,0.5,0.14,31.23,30.03,32.43,-0.00535,0.006,0.00019
pi-,0.5,0.14,36.29,34.89,37.69,-0.0154,0.008,0.0006
pi-,0.5,0.14,42.64,41.04,44.24,-0.0109,0.013,0.0004
pi-,0.5,0.14,51.17,49.37,52.97,-0.025,0.022,0.0009
pi+,-0.5,0.14,6.242,5.972,6.512,0.0201,0.018,0.0023
pi+,-0.5,0.14,7.993,7.473,8.513,0.029,0.013,0.008
pi+,-0.5,0.14,9.627,9.007,10.247,0.0053,0.009,0.0012
pi+,-0.5,0.14,11.52,10.74,12.3,-0.0001,0.007,0.0004
pi+,-0.5,0.14,13.63,12.86,14.4,0.0034,0.007,0.0006
pi+,-0.5,0.14,16.01,15.37,16.65,-0.0053,0.007,0.0006
pi+,-0.5,0.14,20.34,19.36,21.32,-0.0042,0.006,0.0004
pi+,-0.5,0.14,23.37,22.37,24.37,0.00268,0.004,0.00025
pi+,-0.5,0.14,26.97,25.87,28.07,0.00456,0.004,0.00014
pi+,-0.5,0.14,31.23,30.03,32.43,0.00214,0.006,0.00011
pi+,-0.5,0.14,36.29,34.89,37.69,0.00851,0.008,0.00034
pi+,-0.5,0.14,42.64,41.04,44.24,0.0191,0.012,0.0007
pi+,-0.5,0.14,51.17,49.37,52.97,0.0468,0.021,0.0018
pi-,-0.5,0.14,6.242,5.972,6.512,0.012,0.019,0.004
pi-,-0.5,0.14,7.993,7.473,8.513,0.0196,0.012,0.0035
pi-,-0.5,0.14,9.627,9.007,10.247,0.0012,0.01,0.0016
pi-,-0.5,0.14,11.52,10.74,12.3,0.0026,0.007,0.0007
pi-,-0.5,0.14,13.63,12.86,14.4,-0.0077,0.008,0.0014
pi-,-0.5,0.14,16.01,15.37,16.65,-0.00148,0.007,0.00014
pi-,-0.5,0.14,20.34,19.36,21.32,-0.0055,0.006,0.0005
pi-,-0.5,0.14,23.37,22.37,24.37,-0.00298,0.005,0.00026
pi-,-0.5,0.14,26.97,25.87,28.07,-0.00361,0.004,0.00012
pi-,-0.5,0.14,31.23,30.03,32.43,-0.00386,0.006,0.00014
pi-,-0.5,0.14,36.29,34.89,37.69,-0.0147,0.008,0.0006
pi-,-0.5,0.14,42.64,41.04,44.24,0.00361,0.013,0.00025
pi-,-0.5,0.14,51.17,49.37,52.97,-0.0078,0.022,0.0005
pi+,0.5,0.24,8.52,7.97,9.07,0.0066,0.016,0.002
pi+,0.5,0.24,11,10.16,11.84,0.0059,0.013,0.0012
pi+,0.5,0.24,13.09,12.27,13.91,-0.0136,0.009,0.0024
pi+,0.5,0.24,18.4,17.64,19.16,0.0209,0.01,0.0017
pi+,0.5,0.24,22.72,21.81,23.63,-0.00134,0.007,0.00013
pi+,0.5,0.24,26.43,25.33,27.53,0.00786,0.008,0.00027
pi+,0.5,0.24,30.78,29.48,32.08,0.0129,0.01,0.0004
pi+,0.5,0.24,35.94,34.34,37.54,0.0293,0.015,0.001
pi+,0.5,0.24,44.38,42.68,46.08,0.00699,0.023,0.00035
pi-,0.5,0.24,8.52,7.97,9.07,0.014,0.016,0.004
pi-,0.5,0.24,11,10.16,11.84,0.0048,0.014,0.0009
pi-,0.5,0.24,13.09,12.27,13.91,0.0005,0.01,0.0007
pi-,0.5,0.24,18.4,17.64,19.16,4.00E-05,0.007,0.00014
pi-,0.5,0.24,22.72,21.81,23.63,0.00036,0.007,7.00E-05
pi-,0.5,0.24,26.43,25.33,27.53,-0.0083,0.008,0.0004
pi-,0.5,0.24,30.78,29.48,32.08,-0.0264,0.011,0.0008
pi-,0.5,0.24,35.94,34.34,37.54,-0.00025,0.016,0.0002
pi-,0.5,0.24,44.38,42.68,46.08,-0.0232,0.025,0.0024
pi+,-0.5,0.24,8.52,7.97,9.07,0.0005,0.016,0.0017
pi+,-0.5,0.24,11,10.16,11.84,0.007,0.013,0.002
pi+,-0.5,0.24,13.09,12.27,13.91,-0.0098,0.01,0.0017
pi+,-0.5,0.24,18.4,17.64,19.16,0.0085,0.01,0.0007
pi+,-0.5,0.24,22.72,21.81,23.63,0.003,0.007,0.00025
pi+,-0.5,0.24,26.43,25.33,27.53,-0.00442,0.008,0.0002
pi+,-0.5,0.24,30.78,29.48,32.08,0.00785,0.01,0.00027
pi+,-0.5,0.24,35.94,34.34,37.54,0.019,0.015,0.0006
pi+,-0.5,0.24,44.38,42.68,46.08,-0.0156,0.023,0.0006
pi-,-0.5,0.24,8.52,7.97,9.07,0.0007,0.016,0.0012
pi-,-0.5,0.24,11,10.16,11.84,-0.0027,0.014,0.0007
pi-,-0.5,0.24,13.09,12.27,13.91,-0.0057,0.01,0.0011
pi-,-0.5,0.24,18.4,17.64,19.16,-0.006,0.007,0.0005
pi-,-0.5,0.24,22.72,21.81,23.63,0.002,0.007,0.00017
pi-,-0.5,0.24,26.43,25.33,27.53,0.00221,0.008,0.00016
pi-,-0.5,0.24,30.78,29.48,32.08,0.00163,0.011,7.00E-05
pi-,-0.5,0.24,35.94,34.34,37.54,-0.0082,0.017,0.0006
pi-,-0.5,0.24,44.38,42.68,46.08,0.0273,0.026,0.0028
pi+,0.5,0.38,7.345,6.875,7.815,0.018,0.015,0.004
pi+,0.5,0.38,9.203,8.773,9.633,0.0062,0.03,0.0014
pi+,0.5,0.38,10.94,10.36,11.52,-0.0162,0.013,0.003
pi+,0.5,0.38,13.04,12.46,13.62,-0.01,0.012,0.0017
pi+,0.5,0.38,15.64,14.84,16.44,-0.0084,0.014,0.0008
pi+,0.5,0.38,19.53,18.53,20.53,0.0061,0.012,0.0005
pi+,0.5,0.38,22.83,21.85,23.81,0.0125,0.011,0.0011
pi+,0.5,0.38,26.52,25.42,27.62,0.00297,0.013,0.00022
pi+,0.5,0.38,30.61,29.41,31.81,0.0142,0.017,0.0005
pi+,0.5,0.38,35.11,33.61,36.61,0.064,0.031,0.014
pi+,0.5,0.38,41.58,39.18,43.98,-0.0328,0.04,0.0023
pi-,0.5,0.38,7.345,6.875,7.815,0.0038,0.012,0.0028
pi-,0.5,0.38,9.203,8.773,9.633,0.0048,0.014,0.0009
pi-,0.5,0.38,10.94,10.36,11.52,0.021,0.016,0.004
pi-,0.5,0.38,13.04,12.46,13.62,-0.0063,0.012,0.0011
pi-,0.5,0.38,15.64,14.84,16.44,-0.00142,0.015,0.00026
pi-,0.5,0.38,19.53,18.53,20.53,-0.0222,0.013,0.0019
pi-,0.5,0.38,22.83,21.85,23.81,-0.00324,0.012,0.00031
pi-,0.5,0.38,26.52,25.42,27.62,-0.025,0.014,0.0008
pi-,0.5,0.38,30.61,29.41,31.81,-0.0453,0.02,0.0017
pi-,0.5,0.38,35.11,33.61,36.61,-0.069,0.04,0.016
pi-,0.5,0.38,41.58,39.18,43.98,-0.064,0.04,0.006
pi+,-0.5,0.38,7.345,6.875,7.815,-0.0017,0.014,0.0014
pi+,-0.5,0.38,9.203,8.773,9.633,0.0026,0.018,0.001
pi+,-0.5,0.38,10.94,10.36,11.52,-0.012,0.014,0.0021
pi+,-0.5,0.38,13.04,12.46,13.62,0.0041,0.012,0.0007
pi+,-0.5,0.38,15.64,14.84,16.44,0.0131,0.014,0.0011
pi+,-0.5,0.38,19.53,18.53,20.53,-0.0088,0.012,0.0008
pi+,-0.5,0.38,22.83,21.85,23.81,-0.00136,0.011,0.00022
pi+,-0.5,0.38,26.52,25.42,27.62,-0.0114,0.013,0.0005
pi+,-0.5,0.38,30.61,29.41,31.81,0.00715,0.017,0.00025
pi+,-0.5,0.38,35.11,33.61,36.61,0.0089,0.031,0.002
pi+,-0.5,0.38,41.58,39.18,43.98,-0.0205,0.04,0.0012
pi-,-0.5,0.38,7.345,6.875,7.815,0.0038,0.012,0.001
pi-,-0.5,0.38,9.203,8.773,9.633,-0.0127,0.014,0.0022
pi-,-0.5,0.38,10.94,10.36,11.52,-0.0122,0.012,0.0022
pi-,-0.5,0.38,13.04,12.46,13.62,0.0069,0.012,0.0012
pi-,-0.5,0.38,15.64,14.84,16.44,-0.0117,0.015,0.001
pi-,-0.5,0.38,19.53,18.53,20.53,-0.0074,0.013,0.0007
pi-,-0.5,0.38,22.83,21.85,23.81,0.0268,0.012,0.0022
pi-,-0.5,0.38,26.52,25.42,27.62,0.0099,0.014,0.0004
pi-,-0.5,0.38,30.61,29.41,31.81,0.0128,0.02,0.0007
pi-,-0.5,0.38,35.11,33.61,36.61,0.0124,0.04,0.0008
pi-,-0.5,0.38,41.58,39.18,43.98,-0.015,0.04,0.0016
