#: table_doi: 10.17182/hepdata.103056.v1/t11,,,,,,,,
#: name: Figure 12La,,,,,,,,
#: description: Collins asymmetries as a function of particle-jet $p_T$.,,,,,,,,
#: data_file: fig12La.yaml,,,,,,,,
#: keyword reactions: p + p --> jet + pi + X,,,,,,,,
#: keyword cmenergies: 500.0,,,,,,,,
#: keyword phrases: polarized pp collisions | jet | pions | midrapidity,,,,,,,,
#: z,,,,,,,,
particle,<eta>,<pT>jet,z,z LOW,z HIGH,$A_{UT}^{\sin(\theta_S - \theta_H)}$,Stat. error,Syst. Error
pi+,0.5,10.6,0.1552,0.1464,0.164,-0.0011,0.004,0.0006
pi+,0.5,10.6,0.25,0.237,0.263,-0.0058,0.006,0.0011
pi+,0.5,10.6,0.3516,0.3356,0.3676,0.0042,0.008,0.0012
pi+,0.5,10.6,0.4598,0.4378,0.4818,0.0079,0.012,0.0016
pi+,0.5,10.6,0.6247,0.5807,0.6687,-0.015,0.018,0.004
pi-,0.5,10.6,0.1552,0.1464,0.164,-0.0029,0.004,0.0005
pi-,0.5,10.6,0.25,0.237,0.263,0.0009,0.006,0.0009
pi-,0.5,10.6,0.3516,0.3356,0.3676,0.0087,0.007,0.0018
pi-,0.5,10.6,0.4598,0.4378,0.4818,-0.0061,0.012,0.0011
pi-,0.5,10.6,0.6247,0.5807,0.6687,0.02,0.019,0.004
pi+,-0.5,10.6,0.1552,0.1464,0.164,0.0056,0.004,0.0013
pi+,-0.5,10.6,0.25,0.237,0.263,0.0034,0.006,0.0008
pi+,-0.5,10.6,0.3516,0.3356,0.3676,-0.0115,0.011,0.002
pi+,-0.5,10.6,0.4598,0.4378,0.4818,-0.0023,0.012,0.0014
pi+,-0.5,10.6,0.6247,0.5807,0.6687,-0.0074,0.018,0.0019
pi-,-0.5,10.6,0.1552,0.1464,0.164,0.0022,0.004,0.0007
pi-,-0.5,10.6,0.25,0.237,0.263,-0.0042,0.006,0.0007
pi-,-0.5,10.6,0.3516,0.3356,0.3676,-0.0106,0.009,0.0019
pi-,-0.5,10.6,0.4598,0.4378,0.4818,0.0001,0.012,0.0012
pi-,-0.5,10.6,0.6247,0.5807,0.6687,0.02,0.019,0.004
pi+,0.5,20.6,0.1355,0.1289,0.1421,0.00174,0.0031,0.00016
pi+,0.5,20.6,0.2221,0.2061,0.2381,0.0062,0.005,0.0005
pi+,0.5,20.6,0.3171,0.2951,0.3391,0.00419,0.008,0.00035
pi+,0.5,20.6,0.4208,0.3978,0.4438,0.00088,0.015,0.00019
pi+,0.5,20.6,0.5738,0.5388,0.6088,0.0269,0.032,0.0028
pi-,0.5,20.6,0.1355,0.1289,0.1421,-0.01,0.0033,0.0009
pi-,0.5,20.6,0.2221,0.2061,0.2381,0.00032,0.005,5.00E-05
pi-,0.5,20.6,0.3171,0.2951,0.3391,-0.0153,0.009,0.0012
pi-,0.5,20.6,0.4208,0.3978,0.4438,0.00058,0.016,0.00032
pi-,0.5,20.6,0.5738,0.5388,0.6088,0.068,0.04,0.007
pi+,-0.5,20.6,0.1355,0.1289,0.1421,0.00035,0.0031,9.00E-05
pi+,-0.5,20.6,0.2221,0.2061,0.2381,0.00072,0.005,0.00014
pi+,-0.5,20.6,0.3171,0.2951,0.3391,-0.0046,0.008,0.0004
pi+,-0.5,20.6,0.4208,0.3978,0.4438,0.00364,0.015,0.00033
pi+,-0.5,20.6,0.5738,0.5388,0.6088,0.0283,0.032,0.0031
pi-,-0.5,20.6,0.1355,0.1289,0.1421,-0.00382,0.0033,0.00032
pi-,-0.5,20.6,0.2221,0.2061,0.2381,-0.00261,0.005,0.00022
pi-,-0.5,20.6,0.3171,0.2951,0.3391,0.0079,0.009,0.0006
pi-,-0.5,20.6,0.4208,0.3978,0.4438,0.0023,0.016,0.0004
pi-,-0.5,20.6,0.5738,0.5388,0.6088,-0.0169,0.04,0.0027
pi+,0.5,31,0.134,0.128,0.14,0.00921,0.0029,0.00033
pi+,0.5,31,0.2306,0.2206,0.2406,0.01124,0.006,0.00035
pi+,0.5,31,0.3265,0.3125,0.3405,0.009,0.011,0.0006
pi+,0.5,31,0.4221,0.4041,0.4401,0.0145,0.021,0.0005
pi+,0.5,31,0.5453,0.5163,0.5743,0.0193,0.05,0.0014
pi-,0.5,31,0.134,0.128,0.14,-0.00623,0.003,0.00022
pi-,0.5,31,0.2306,0.2206,0.2406,-0.0143,0.006,0.0005
pi-,0.5,31,0.3265,0.3125,0.3405,-0.0342,0.012,0.0017
pi-,0.5,31,0.4221,0.4041,0.4401,-0.0482,0.024,0.0023
pi-,0.5,31,0.5453,0.5163,0.5743,-0.0594,0.06,0.0023
pi+,-0.5,31,0.134,0.128,0.14,0.00589,0.0029,0.00023
pi+,-0.5,31,0.2306,0.2206,0.2406,0.00234,0.006,8.00E-05
pi+,-0.5,31,0.3265,0.3125,0.3405,-0.0002,0.011,0.00012
pi+,-0.5,31,0.4221,0.4041,0.4401,0.00604,0.021,0.00033
pi+,-0.5,31,0.5453,0.5163,0.5743,-0.12,0.05,0.008
pi-,-0.5,31,0.134,0.128,0.14,-0.00546,0.0029,0.0002
pi-,-0.5,31,0.2306,0.2206,0.2406,0.00168,0.006,9.00E-05
pi-,-0.5,31,0.3265,0.3125,0.3405,0.0009,0.012,0.00012
pi-,-0.5,31,0.4221,0.4041,0.4401,0.0201,0.024,0.0013
pi-,-0.5,31,0.5453,0.5163,0.5743,-0.0434,0.06,0.0015
